Title,URL,Views,Channel,Upload Date,Duration
DeepSeek打破价格壁垒 大马应如何借机转型? | 八点最热报 06/02/2025,https://www.youtube.com/watch?v=sXoLu56dP7w&pp=ygUIRGVlcHNlZWs%3D,67K views,,10 days ago,
DeepSeek ve yapay zeka: Çin ABD’yi nasıl sarstı?,https://www.youtube.com/watch?v=G2fxGMmz0rI&pp=ygUIRGVlcHNlZWs%3D,116K views,,2 weeks ago,
Illustrated DeepSeek-R1 And Live Q&A With Jay Alammar,https://www.youtube.com/watch?v=D-MtK5Ec_nw&pp=ygUIRGVlcHNlZWs%3D,1.9K views,,Streamed 1 hour ago,1:02:03
Learn how ChatGPT and DeepSeek models work: How Transformer LLMs Work [Free Course],https://www.youtube.com/watch?v=k1ILy23t89E&pp=ygUIRGVlcHNlZWs%3D,93K views,,5 days ago,
Is DeepSeek Lying to you? #shorts #wireshark #deepseek #privacy #cybersecurity,https://www.youtube.com/shorts/I_bGa-xIHkk,206K views,,11 days ago,
"DeepSeek Drama, Explained",https://www.youtube.com/shorts/3otH78x4v-w,1.1M views,,2 weeks ago,
La forma más FÁCIL de Instalar DeepSeek en VSCode,https://www.youtube.com/watch?v=L13CHhZeTYw&pp=ygUIRGVlcHNlZWs%3D,132K views,,13 days ago,
Deepseek Computer Use AI Agents are CRAZY (FREE!) 🤯,https://www.youtube.com/watch?v=iEsBav7E7b4&pp=ygUIRGVlcHNlZWs%3D,1.6K views,,1 day ago,
Illustrated DeepSeek-R1 And Live Q&A With Jay Alammar,https://www.youtube.com/watch?v=D-MtK5Ec_nw&pp=ygUIRGVlcHNlZWs%3D,2.2K views,,Streamed 1 hour ago,1:02:03
NEW Deepseek AI Good For Creating Trading Strategies in TradingView and PineScript? (FREE AI),https://www.youtube.com/watch?v=waKGeoeM6HU&pp=ygUIRGVlcHNlZWs%3D,846K views,,3 weeks ago,
Tiny DeepSeek R1 Clone Beats O1-Preview at Math?! PhD Student's STUNNING Discovery,https://www.youtube.com/watch?v=QxZ7oQRJqik&pp=ygUIRGVlcHNlZWs%3D,44K views,,4 days ago,6:51
When AI Competes: Deepseek Vs Open AI Explained,https://www.youtube.com/watch?v=zWOPThV8kIs&pp=ygUIRGVlcHNlZWs%3D,779K views,,4 days ago,33:39
How to Use DeepSeek AI App Beginners Guide 2025,https://www.youtube.com/watch?v=dwQzu124Kss&pp=ygUIRGVlcHNlZWs%3D,1.7K views,,2 weeks ago,
Why the West Hates DeepSeek? | Vantage with Palki Sharma | N18G,https://www.youtube.com/shorts/fQ89Q1HrUEE,145K views,,2 weeks ago,
I Think I Love Deepseek R1,https://www.youtube.com/watch?v=GNHuJE_GARc&pp=ygUIRGVlcHNlZWs%3D,492K views,,2 weeks ago,
DEEPSEEK HUMILIATES CHATGTP! IS THE HYPE REAL? ? OFFICIAL COMPARISON,https://www.youtube.com/watch?v=vtE-Ar1IHYU&pp=ygUIRGVlcHNlZWs%3D,66K views,,2 weeks ago,32:28
Running FULL DeepSeek R1 671B Locally (Test and Install!),https://www.youtube.com/watch?v=_PxT9pyN_eE&pp=ygUIRGVlcHNlZWs%3D,62K views,,2 weeks ago,30:05
How to Create a Tool Website using Deepseek Ai and Gemini Ai in WordPress | Make Money Online,https://www.youtube.com/watch?v=1BAeNhoILY0&pp=ygUIRGVlcHNlZWs%3D,3.9K views,,6 days ago,16:16
🤯DeepSeek R1 vs ChatGPT: Who Will Dominate the Future of AI?,https://www.youtube.com/watch?v=KTaje4K9msY&pp=ygUIRGVlcHNlZWs%3D,74K views,,3 weeks ago,
